Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
"  Gabrielle Marie ""Gabby"" Adcock (White-)",F,25,167,,Great Britain,Badminton,0
 Th Anh,F,20,165,58,Vietnam,Fencing,0
Aaron Arthur Cook,M,25,183,80,Moldova,Taekwondo,0
Aaron Brown,M,24,198,79,Canada,Athletics,1
Aauri Lorena Bokesa Abia,F,27,180,62,Spain,Athletics,0
Abby May Erceg,F,26,177,68,New Zealand,Football,0
Abdelati El-Guesse,M,23,187,64,Morocco,Athletics,0
Abdelghani Demmou,M,27,185,75,Algeria,Football,0
Abdelhafid Benchabla,M,29,184,81,Algeria,Boxing,0
Abdelhalim Muhammad Abou,M,27,210,88,Egypt,Volleyball,0
Abdelkader Chadi,M,29,175,60,Algeria,Boxing,0
Abdelkhalek El-Banna,M,28,193,95,Egypt,Rowing,0
Abdelmajid El-Hissouf,M,23,170,56,Morocco,Athletics,0
Abdelraouf Benguit,M,20,170,65,Algeria,Football,0
Abderrahmane Benamadi,M,31,183,90,Algeria,Judo,0
Abdoul Razak Issoufou Alfaga,M,21,207,90,Niger,Taekwondo,1
Abdoullah Bamoussa,M,30,170,59,Italy,Athletics,0
"Abdul Wahab ""Alade"" Aminu",M,28,210,102,Nigeria,Basketball,0
Abdulaziz Al-Shatti,M,25,,,Individual Olympic Athletes,Fencing,0
Abdullah Al-Rashidi,M,52,183,83,Individual Olympic Athletes,Shooting,1
Abdullah Hel Baki,M,27,170,82,Bangladesh,Shooting,0
Abdulqdir Abdullayev,M,28,188,91,Azerbaijan,Boxing,0
Abdulrahman Al-Faihan,M,30,,,Individual Olympic Athletes,Shooting,0
Abhinav Bindra,M,33,173,70,India,Shooting,0
"Abigail ""Abbey"" D'Agostino",F,24,160,50,United States,Athletics,0
"Abigail ""Abbie"" Brown",F,20,176,71,Great Britain,Rugby Sevens,0
Abraham Naibei Cheroben,M,23,176,60,Bahrain,Athletics,0
Abrar Osman Adem,M,22,168,58,Eritrea,Athletics,0
Abubakar Abbas Abbas,M,20,175,66,Bahrain,Athletics,0
Adam Batirov,M,31,165,71,Bahrain,Wrestling,0
Adam Cwalina,M,31,187,81,Poland,Badminton,0
Adam Graham Dixon,M,29,169,70,Great Britain,Hockey,0
Adama Diatta,M,27,165,57,Senegal,Wrestling,0
Adelina Maria Cojocariu-Bogus,F,27,186,75,Romania,Rowing,1
Adem Boudjemline,M,22,180,85,Algeria,Wrestling,0
Adenzia Aparecida Ferreira da Silva,F,29,187,65,Brazil,Volleyball,0
Adilson Jos da Silva,M,44,175,75,Brazil,Golf,0
Aditi Ashok,F,18,173,57,India,Golf,0
Adiyasambuu Tsolmon,F,23,165,65,Mongolia,Judo,0
Adlan Aliyevich Abdurashidov,M,26,172,60,Russia,Boxing,0
"Adrian ""Adri"" Delgado Baches",M,26,184,83,Brazil,Water Polo,0
Adrian Bocki,M,26,174,62,Poland,Athletics,0
Adrian Crian,M,36,186,85,Romania,Table Tennis,0
Adrian Dziko,M,26,169,65,Poland,Badminton,0
Adrian Ignacio Carambula Raurich,M,28,183,84,Italy-2,Beach Volleyball,0
"Adriana ""Adrianinha"" Moiss Pinto",F,37,170,65,Brazil,Basketball,0
Adriana Aparecida da Silva,F,35,166,52,Brazil,Athletics,0
Adriana Yamila Daz Gonzlez,F,15,160,50,Puerto Rico,Table Tennis,0
Adriana dos Santos Arajo,F,34,167,60,Brazil,Boxing,0
Adrien Bart,M,24,185,84,France,Canoeing,0
Adrien Dipanda,M,28,202,105,France,Handball,1
Adrin Chacn Muoz,M,27,187,90,Cuba,Athletics,0
Afaf Muhammad El-Hodhod,F,19,163,75,Egypt,Shooting,0
Afef Ben Ismail,F,22,173,60,Tunisia,Canoeing,0
Agnieszka Dygacz,F,31,160,47,Poland,Athletics,0
Agustina Albertario,F,23,165,55,Argentina,Hockey,0
Ahmad Abughaush,M,20,178,68,Jordan,Taekwondo,1
Ahmad Al-Afasi,M,33,,,Individual Olympic Athletes,Shooting,0
Ahmad Amsyar Azman,M,23,162,62,Malaysia,Diving,0
Ahmad Mohamed Attellesey,M,21,,,Libya,Swimming,0
Ahmed Abdel Naeim,M,31,197,87,Egypt,Volleyball,0
Ahmed Abdelaal,M,27,188,89,Egypt,Volleyball,0
Ahmed Abdelrahman,M,20,165,60,Egypt,Judo,0
Ahmed Afifi,M,28,194,92,Egypt,Volleyball,0
Ahmed Akram Abbas Mahmoud,M,19,188,80,Egypt,Swimming,0
Ahmed Ali,M,22,173,75,Sudan,Athletics,0
Ahmed Bader Magour,M,20,190,90,Qatar,Athletics,0
Ahmed El-Kotb,M,25,197,80,Egypt,Volleyball,0
Ahmed Mahmud Muhammad Saleh El-Nemr,M,37,183,84,Egypt,Archery,0
Ahmed Moustafa Nasr El-Ahmar,M,32,181,79,Egypt,Handball,0
Ahmed Murad Darwish,M,35,172,80,Egypt,Shooting,0
Ahymara del Carmen Espinoza Echenique,F,31,170,80,Venezuela,Athletics,0
Ai Yanhan,F,14,168,54,China,Swimming,0
Aina Cid Centelles,F,21,170,60,Spain,Rowing,0
Ajla Del Ponte,F,20,168,56,Switzerland,Athletics,0
"Akalaini ""Bui"" Baravilala",F,25,168,75,United States,Rugby Sevens,0
Akossiwa Claire Ayivon,F,19,,,Togo,Rowing,0
Alaa Ali Mhawi,M,20,178,68,Iraq,Football,0
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25,188,87,Egypt,Fencing,0
Alan Campbell,M,33,191,96,Great Britain,Rowing,0
Alana Barber,F,29,163,52,New Zealand,Athletics,0
Alana Boyd,F,32,171,59,Australia,Athletics,0
Alastair Richard Brogdon,M,28,183,76,Great Britain,Hockey,0
Albert Espaol Lifante,M,30,189,86,Spain,Water Polo,0
Albert Idel Bravo Morales,M,28,199,88,Venezuela,Athletics,0
Alberth Josu Elis Martnez,M,20,184,77,Honduras,Football,0
Alberto lvarez Muoz,M,25,191,78,Mexico,Athletics,0
Albta Dufkov,F,26,172,60,Czech Republic,Synchronized Swimming,0
Aldemir Gomes da Silva Jnior,M,24,193,80,Brazil,Athletics,0
Alejandra Jhonay de Jess Bentez Romero,F,36,169,62,Venezuela,Fencing,0
"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Spain,Basketball,1
Aleksandr Aleksandrov,M,26,189,93,Azerbaijan,Rowing,0
Aleksandr Aleksandrovich Bryukhankov,M,29,184,79,Russia,Triathlon,0
Aleksandr Ivanovich Bury,M,28,203,93,Belarus,Tennis,0
Aleksandr Nikolayevich Bersanov,M,23,176,94,Belarus,Weightlifting,0
Aleksandr Nikolayevich Buykevich,M,31,191,80,Belarus,Fencing,0
Aleksandra Cotti,F,27,167,65,Italy,Water Polo,1
Aleksandra Crvendaki,F,20,187,76,Serbia,Basketball,1
Aleksey Aleksandrovich Alipov,M,40,175,80,Russia,Shooting,0
Aleksey Alekseyevich Denisenko,M,22,185,68,Russia,Taekwondo,1
Aleksey Borisovich Cheremisinov,M,31,183,75,Russia,Fencing,1
Aleksey Sergeyevich Bryansky,M,18,192,82,Russia,Swimming,0
Aleksey Viktorovich Dergunov,M,31,187,95,Kazakhstan,Canoeing,0
Alemu Bekele Gebre,M,26,162,59,Bahrain,Athletics,0
Alessandra Aguilar Morn,F,38,165,50,Spain,Athletics,0
Alessandro De Marchi,M,30,181,66,Italy,Cycling,0
Alex Amankwah,M,24,,,Ghana,Athletics,0
Alex Beddoes,M,21,181,74,Cook Islands,Athletics,0
Alex Bowen,M,22,196,102,United States,Water Polo,0
Alex Di Giorgio,M,26,185,75,Italy,Swimming,0
"Alexander ""Alex"" Edmondson",M,22,184,76,Australia,Cycling,1
"Alexander ""Alex"" ejka",M,45,173,77,Germany,Golf,0
Alexander Belonogoff,M,26,187,90,Australia,Rowing,1
Alexander Brouwer,M,26,198,88,Netherlands-1,Beach Volleyball,1
Alexander Choupenitch,M,22,196,89,Czech Republic,Fencing,0
"Alexander German ""Sander"" Baart",M,28,178,76,Netherlands,Hockey,0
Alexander Mah Owens Drysdale,M,37,200,102,New Zealand,Rowing,1
"Alexandra Mary L. ""Alex"" Danson",F,31,167,56,Great Britain,Hockey,1
Alexandra Priscila do Nascimento,F,34,177,68,Brazil,Handball,0
Alexandre Bouzaid,M,35,168,75,Senegal,Fencing,0
Alexandre Camarasa,M,29,193,100,France,Water Polo,0
Alexandre Camargo,M,17,177,75,Brazil,Fencing,0
Alexandrina Cabral Barbosa,F,30,175,62,Spain,Handball,0
Alfonso Benavides Lpez de Ayala,M,25,182,86,Spain,Canoeing,0
Alfredo Jos Campo Vintimilla,M,23,192,90,Ecuador,Cycling,0
Ali Adnan Kadhim Nassir Al-Tameemi,M,22,185,71,Iraq,Football,0
Ali Eren Demirezen,M,26,189,91,Turkey,Boxing,0
Ali Faez Atia,M,21,180,75,Iraq,Football,0
Ali Saleh El-Ghrari,M,19,,,Libya,Archery,0
Ali Yousef Al-Rumaihi,M,34,177,86,Qatar,Equestrianism,0
Alia Shanee Atkinson,F,27,172,71,Jamaica,Swimming,0
Alice Aprot Nawowuna,F,22,152,54,Kenya,Athletics,0
Alicia Brown,F,26,165,57,Canada,Athletics,0
Alicia Cebrin Martnez de Lagos,F,33,168,68,Spain,Sailing,0
Alicia Jane Blagg,F,19,167,60,Great Britain,Diving,0
Alicia Jayne Coutts,F,28,176,69,Australia,Swimming,0
Alin Alexuc-Ciurariu,M,26,191,105,Romania,Wrestling,0
Alin Coste,M,24,201,95,Romania,Swimming,0
Alina Armas,F,32,166,53,Namibia,Athletics,0
Aline Villares Reis,F,27,162,60,Brazil,Football,0
Alison Conte Cerutti,M,30,203,106,Brazil-1,Beach Volleyball,1
Alistair Bond,M,26,186,71,New Zealand,Rowing,0
Alistair Edward Brownlee,M,28,184,70,Great Britain,Triathlon,1
Aliyah Abrams,F,19,163,53,Guyana,Athletics,0
Aliz Cornet,F,26,173,60,France,Tennis,0
Alla Kostiantynivna Cherkasova,F,27,165,75,Ukraine,Wrestling,0
Allan Alexander Banegas Murillo,M,22,180,76,Honduras,Football,0
Allan Lopes Mamdio do Carmo,M,27,174,73,Brazil,Swimming,0
Allison Beveridge,F,23,169,62,Canada,Cycling,1
Allison M. Brock,F,36,168,59,United States,Equestrianism,1
Allistar Clarke,M,25,187,71,Saint Kitts and Nevis,Athletics,0
Allysha Chapman,F,27,160,56,Canada,Football,1
Almaz Ayana Eba,F,24,166,47,Ethiopia,Athletics,2
Alonso Reno Edward Henry,M,26,181,76,Panama,Athletics,0
"Alvaro Affonso ""Doda"" de Miranda Neto",M,43,186,86,Brazil,Equestrianism,0
Alyce Burnett,F,23,182,71,Australia,Canoeing,0
Alyn Camara,M,27,196,84,Germany,Athletics,0
Alyona Viktorovna Dubitskaya (Grishko-),F,26,180,76,Belarus,Athletics,0
Alyson Dixon,F,37,155,43,Great Britain,Athletics,0
Alyssa Bull,F,20,173,65,Australia,Canoeing,0
Alyssa Conley,F,25,176,63,South Africa,Athletics,0
Amadou Camara,M,22,163,69,Guinea,Swimming,0
Amaia Erbina Araa,F,19,171,68,Spain,Rugby Sevens,0
Amalie Dideriksen,F,20,175,62,Denmark,Cycling,0
Amanda Carolina Gomes de Arajo,F,26,162,54,Brazil,Rugby Sevens,0
Amanda Elmore,F,25,180,80,United States,Rowing,1
Amanda Mildred Carr,F,26,165,60,Thailand,Cycling,0
Amanda Sinegugu Dlamini,F,28,162,61,South Africa,Football,0
Amas Daniel,M,26,165,65,Nigeria,Wrestling,0
Amber Campbell,F,35,171,90,United States,Athletics,0
Amel Bouderra,F,27,163,,France,Basketball,0
"Amelia ""Amy"" Cozad",F,25,160,51,United States,Diving,0
Amina Barsham Bakhit,F,25,175,59,Sudan,Athletics,0
Amina Bettiche,F,28,165,55,Algeria,Athletics,0
Aminat Oluwafunmilayo Adeniyi,F,23,165,58,Nigeria,Wrestling,0
Amine Bannour,M,26,196,102,Tunisia,Handball,0
Amjad Attwan Kadhim,M,19,180,72,Iraq,Football,0
Amor Ben Yahia,M,31,175,63,Tunisia,Athletics,0
Amro Abdulrahman Ali El-Geziry,M,29,185,75,Egypt,Modern Pentathlon,0
Amy Louise Cure,F,23,172,63,Australia,Cycling,0
An Ba-Ul,M,22,169,66,South Korea,Judo,1
An Byeong-Hun,M,24,186,95,South Korea,Golf,0
An Chang-Rim,M,22,170,73,South Korea,Judo,0
An Hyo-Ju,F,28,168,54,South Korea,Hockey,0
An Se-Hyeon,F,20,168,57,South Korea,Swimming,0
An Seul-Ki,F,24,161,46,South Korea,Athletics,0
"Ana Beatriz ""Bia"" di Rienzo Bulco",F,22,167,58,Brazil,Fencing,0
Ana Dabovi,F,26,183,70,Serbia,Basketball,1
Ana Gabriela Bayardo Chan,F,22,168,73,Mexico,Archery,0
Ana Isabel Vermelhudo Cabecinha,F,32,163,48,Portugal,Athletics,0
Ana Iulia Dascl,F,13,183,60,Romania,Swimming,0
Ana Luiza Busato Barbachan,F,26,171,68,Brazil,Sailing,0
Ana Marcela Jesus Soares da Cunha,F,24,165,66,Brazil,Swimming,0
Ana Maria Florentina Brnz-Popescu,F,31,175,64,Romania,Fencing,1
Ana Paula Rodrigues-Belo,F,28,172,67,Brazil,Handball,0
Ana erek,F,17,164,58,Croatia,Gymnastics,0
Anas Beshr,M,23,,,Egypt,Athletics,0
Anasse At El Abdia,M,23,180,66,Morocco,Cycling,0
Anastasia Katerina Bogdanovski,F,23,174,57,Macedonia,Swimming,0
Anastasiya Aleksandrovna Abrosimova,F,26,164,51,Russia,Triathlon,0
Anastasiya Ilyinichna Bliznyuk,F,22,173,51,Russia,Rhythmic Gymnastics,1
Anastasiya Vladimirovna Baryshnikova,F,25,173,67,Russia,Taekwondo,0
Anastasiya Yevgenyevna Belyakova,F,23,173,60,Russia,Boxing,1
Ancua Bobocel,F,28,167,49,Romania,Athletics,0
Ander Elosegi Alkain,M,28,186,80,Spain,Canoeing,0
Anders Dahl,M,40,180,80,Denmark,Equestrianism,0
Andr Fernando dos Santos Martins Cardoso,M,31,168,57,Portugal,Cycling,0
Andre Breitbarth,M,26,191,125,Germany,Judo,0
Andre De Grasse,M,21,176,70,Canada,Athletics,3
Andrea Arsovi,F,29,165,61,Serbia,Shooting,0
Andrea Baldini,M,30,175,70,Italy,Fencing,0
Andrea Brewster,F,33,163,62,Ireland,Sailing,0
Andrea Cassar,M,32,193,93,Italy,Fencing,0
Andrea Chiarabini,M,21,179,70,Italy,Diving,0
Andrea Deelstra,F,31,164,46,Netherlands,Athletics,0
Andrea Mitchell D'Arrigo,M,21,194,85,Italy,Swimming,0
Andrea del Rosario Cedrn Rodrguez,F,22,169,62,Peru,Swimming,0
Andreas Bretschneider,M,26,167,60,Germany,Gymnastics,0
Andreas Chasikos,M,32,175,70,Cyprus,Shooting,0
Andreas Hjartbro Bube,M,29,178,65,Denmark,Athletics,0
Andreea Aanei,F,22,170,125,Romania,Weightlifting,0
Andreea Arsine,F,27,159,55,Romania,Athletics,0
Andreea Boghian,F,24,186,78,Romania,Rowing,1
Andreea Stefania Chiu,F,28,157,52,Romania,Judo,0
Andreia Bandeira,F,29,169,75,Brazil,Boxing,0
Andressa Alves da Silva,F,23,168,56,Brazil,Football,0
Andressa Cavalari Machry,F,21,160,60,Brazil,Football,0
Andressa Oliveira de Morais,F,25,178,97,Brazil,Athletics,0
"Andrew ""Andy"" Butchart",M,24,175,64,Great Britain,Athletics,0
Andrew Amonde,M,32,190,104,Kenya,Rugby Sevens,0
"Andrew Campbell, Jr.",M,24,178,70,United States,Rowing,0
Andrew Charter,M,29,182,87,Australia,Hockey,0
Andrew Chetcuti,M,23,177,72,Malta,Swimming,0
Andrew Durutalo,M,28,188,107,United States,Rugby Sevens,0
Andrew Evans,M,25,198,114,United States,Athletics,0
Andrew Michael Bogut,M,31,213,122,Australia,Basketball,0
"Andrew Thomas ""Andy"" Bisek",M,29,178,82,United States,Wrestling,0
Andrey Amador Bikkazakova,M,29,183,73,Costa Rica,Cycling,0
Andrey Viktorovich Ashchev,M,33,202,105,Russia,Volleyball,0
Andrey Viktorovich Churilo,M,23,189,74,Belarus,Athletics,0
Andrique Allisop,M,23,171,60,Seychelles,Boxing,0
Andro Bulje,M,30,200,115,Croatia,Water Polo,1
Andrs Arroyo,M,21,177,64,Puerto Rico,Athletics,0
Andrs Claudio Ducasse Rojas,M,24,171,70,Chile,Sailing,0
Andrs Mauricio Caicedo Piedrahita,M,18,174,75,Colombia,Weightlifting,0
Ane Marcelle Gomes dos Santos,F,22,153,53,Brazil,Archery,0
Aneka Drahotov,F,21,180,57,Czech Republic,Athletics,0
Anela Bulatovi,F,29,175,67,Montenegro,Handball,0
Angelica Delgado,F,25,160,52,United States,Judo,0
Angelica Therese Bengtsson,F,23,163,52,Sweden,Athletics,0
Angelika Cichocka,F,28,170,56,Poland,Athletics,0
Anita Alvarez,F,19,170,52,United States,Synchronized Swimming,0
Anja Crevar,F,16,164,49,Serbia,Swimming,0
Ann-Sophie Duyck,F,29,172,60,Belgium,Cycling,0
Anna Boada Peir,F,23,165,60,Spain,Rowing,0
Anna Cruz Lebrato,F,29,176,60,Spain,Basketball,1
Anna Danesi,F,20,195,75,Italy,Volleyball,0
Anna Dowgiert,F,26,178,65,Poland,Swimming,0
Anna Espar Llaquet,F,23,180,66,Spain,Water Polo,0
Anna Sergeyevna Dudenkova,F,22,167,51,Belarus,Rhythmic Gymnastics,0
Anna-Maria Alexandri,F,18,170,48,Austria,Synchronized Swimming,0
Annabel Laure Ali,F,31,176,75,Cameroon,Wrestling,0
Anne Buijs,F,24,191,73,Netherlands,Volleyball,0
Anne Cairns,F,35,,,Samoa,Canoeing,0
Anne Dsane Andersen,F,23,183,86,Denmark,Rowing,1
Anne Sofie Holm Baumeister (Jrgensen-),F,28,168,54,Denmark,Athletics,0
Annemiek Bekkering,F,24,160,54,Netherlands,Sailing,0
Annette Duetz,F,23,180,74,Netherlands,Sailing,0
Annette Edmondson,F,24,171,65,Australia,Cycling,0
Annika Beck,F,22,170,59,Germany,Tennis,0
Annika Bochmann,F,25,167,58,Germany,Sailing,0
Annika Bruhn,F,23,183,69,Germany,Swimming,0
Anthony Dean,M,25,175,87,Australia,Cycling,0
Anthony John Barbar,M,23,201,100,Lebanon,Swimming,0
"Anthony Lawrence ""Tony"" Azevedo",M,34,186,90,United States,Water Polo,0
Anthony Lee Ervin,M,35,191,80,United States,Swimming,2
Antoaneta Nikolaeva Boneva,F,30,168,70,Bulgaria,Shooting,0
Antoine Bouchard,M,21,180,66,Canada,Judo,0
Antoine Diot,M,27,193,86,France,Basketball,0
Antoine Duchesne,M,24,189,73,Canada,Cycling,0
Antoine Xavier Adams,M,27,180,79,Saint Kitts and Nevis,Athletics,0
Anton Alekseyevich Avdeyev,M,29,174,85,Russia,Fencing,0
Anton Braun,M,26,202,104,Germany,Rowing,0
Anton Carl Diderik Dahlberg,M,31,182,71,Sweden,Sailing,0
Anton Mikhaylovich Chupkov,M,19,188,71,Russia,Swimming,1
Anton Viktorovich Astakhov,M,29,176,85,Russia,Shooting,0
Antonella Del Core,F,35,180,75,Italy,Volleyball,0
Antonino Barill,M,28,187,96,Italy,Shooting,0
Antonio Abadia Beci,M,26,170,65,Spain,Athletics,0
Antonio Alkana,M,26,183,76,South Africa,Athletics,0
Antonio Arroyo Prez,M,22,170,63,Spain,Swimming,0
Antri Christoforou,F,24,166,53,Cyprus,Cycling,0
Antri Eleftheriou,F,32,162,50,Cyprus,Shooting,0
Anuradha Indrajith Cooray,M,38,178,58,Sri Lanka,Athletics,0
Anzor Adamovich Boltukayev,M,30,180,97,Russia,Wrestling,0
Apisai Raviyawa Domolailai,M,27,192,98,Fiji,Rugby Sevens,1
Apurvi Singh Chandela,F,23,157,54,India,Shooting,0
Aram Avagyan,M,25,173,56,Armenia,Boxing,0
Ardo Arusaar,M,28,181,102,Estonia,Wrestling,0
Areneo David,M,21,164,58,Malawi,Archery,0
Arianna Castiglioni,F,18,167,55,Italy,Swimming,0
Arianna Errigo,F,28,180,68,Italy,Fencing,0
Arli Chontey,M,24,150,56,Kazakhstan,Weightlifting,0
Aron John Baynes,M,29,208,115,Australia,Basketball,0
Arsen Kadyrbayevich Eraliyev,M,26,165,59,Kyrgyzstan,Wrestling,0
Arslanbek Aylow,M,23,177,75,Turkmenistan,Boxing,0
Artem Oleksiyovych Bloshenko,M,31,187,100,Ukraine,Judo,0
Arthur Abele,M,30,184,85,Germany,Athletics,0
Arthur Bomfim Bergo,M,22,183,83,Brazil,Rugby Sevens,0
Artur Aleksanyan,M,24,190,98,Armenia,Wrestling,1
Artur Brzozowski,M,31,174,67,Poland,Athletics,0
Artur Davtyan,M,23,162,55,Armenia,Gymnastics,0
Artur Kamilevich Akhmatkhuzin,M,28,187,79,Russia,Fencing,1
Arturo Chvez Korfiatis,M,26,190,76,Peru,Athletics,0
Artyom Nikolayevich Chebotaryov,M,27,184,75,Russia,Boxing,0
Artyom Yuryevich Bondarenko,M,25,187,78,Belarus,Athletics,0
Ashani Kemarley Brown,M,24,182,85,Bahrain,Athletics,0
Ashlee Ankudinoff,F,25,174,67,Australia,Cycling,0
Ashraf Abou El-Hassan,M,41,186,86,Egypt,Volleyball,0
Ashraf Amgad El-Seify,M,21,185,105,Qatar,Athletics,0
Ashton Baumann,M,23,191,74,Canada,Swimming,0
Ashton James Eaton,M,28,186,81,United States,Athletics,1
Asnage Castelly,M,38,182,74,Haiti,Wrestling,0
Astrit Ajdarevi,M,26,190,80,Sweden,Football,0
"Asuka Antonio ""Aska"" Cambridge",M,23,179,74,Japan,Athletics,1
Atallah Al-Anazi,M,28,174,74,Saudi Arabia,Shooting,0
Atanu Das,M,24,175,79,India,Archery,0
Ate nar,M,30,172,72,Turkey,Sailing,0
Atheyna Bylon,F,27,175,75,Panama,Boxing,0
Atsushi Arai,M,22,169,62,Japan,Water Polo,0
Attila Decker,M,28,197,94,Hungary,Water Polo,0
Aude Compan,F,23,173,67,France,Sailing,0
Audrey Amiel,F,29,164,65,France,Rugby Sevens,0
Audrey Cordon (-Ragot),F,26,170,60,France,Cycling,0
Augusto Dutra de Oliveira,M,26,180,70,Brazil,Athletics,0
Aurelie Alcindor,F,22,169,47,Mauritius,Athletics,0
Aurimas Adomaviius,M,22,204,100,Lithuania,Rowing,0
Aurimas Didbalis,M,25,172,94,Lithuania,Weightlifting,1
Auriol Dongmo Mekemnang,F,26,173,95,Cameroon,Athletics,0
Avtandil Ch'rik'ishvili,M,25,182,80,Georgia,Judo,0
Axel Louis Augis,M,25,172,71,France,Gymnastics,0
Axelle Dauwens,F,25,171,62,Belgium,Athletics,0
Aye Cora,F,23,175,69,Turkey,Basketball,0
Ayesha Shahriyar Mohammed Al-Balooshi,F,24,160,57,United Arab Emirates,Weightlifting,0
Ayman Alaa El-Din Mohamed Fayez,M,25,181,72,Egypt,Fencing,0
Ayoub Abdellaoui,M,23,184,68,Algeria,Football,0
Ayyasamy Dharun,M,19,177,64,India,Athletics,0
Azad Al-Barazi,M,28,195,85,Syria,Swimming,0
Azenaide Danila Jos Carlos,F,26,175,69,Angola,Handball,0
Azucena Daz Calvo,F,33,163,55,Spain,Athletics,0
Azza Besbes,F,25,175,62,Tunisia,Fencing,0
Baatarskhiin Chinzorig,M,24,174,64,Mongolia,Boxing,0
Bae Yeon-Ju,F,25,167,57,South Korea,Badminton,0
Bae Yoo-Na,F,26,182,66,South Korea,Volleyball,0
Baek Ee-Seul,F,21,175,72,South Korea,Hockey,0
Baek Su-Yeon,F,25,173,61,South Korea,Swimming,0
Baghdad Bounedjah,M,24,189,75,Algeria,Football,0
Bahar alar,F,27,190,76,Turkey,Basketball,0
Bai Faquan,M,30,173,66,China,Triathlon,0
Bak Ji-Yun,F,23,168,63,South Korea,Judo,0
Bakhodir Dzhalolov,M,22,198,100,Uzbekistan,Boxing,0
Balla Diye,M,35,188,68,Senegal,Taekwondo,0
Balzs Baji,M,27,192,85,Hungary,Athletics,0
Balzs Erdlyi,M,26,196,94,Hungary,Water Polo,0
Bao Yuqing,F,22,173,55,China,Rhythmic Gymnastics,0
Barakat Mubarak Al-Harthi,M,28,173,67,Oman,Athletics,0
Barbara Bujka,F,29,172,82,Hungary,Water Polo,0
Barbora Balov,F,24,169,73,Slovakia,Table Tennis,0
Barna Bor,M,29,191,130,Hungary,Judo,0
Barnab Delarze,M,22,193,100,Switzerland,Rowing,0
Bart Deurloo,M,25,170,65,Netherlands,Gymnastics,0
Bartomiej Wojciech Bonk,M,31,181,105,Poland,Weightlifting,0
Bartosz Bednorz,M,22,201,84,Poland,Volleyball,0
Bashir Abdi,M,27,176,56,Belgium,Athletics,0
Bashir Asgari Babajanzadeh Darzi,M,26,188,130,Iran,Wrestling,0
Bassel Al-Rayes,M,37,180,95,Qatar,Handball,0
Basten Caerts,M,18,185,85,Belgium,Swimming,0
Bastien Auzeil,M,26,195,89,France,Athletics,0
Bat-Ochiryn Ser-Od,M,34,169,61,Mongolia,Athletics,0
Batrice Edwige,F,27,182,76,France,Handball,1
Batsaikhanyn Dlgn,M,29,179,72,Mongolia,Swimming,0
Battulgyn Temlen,M,27,183,124,Mongolia,Judo,0
Bayartsogtyn Mnkhzayaa,F,22,160,43,Mongolia,Athletics,0
Bayaryn Yosi,F,16,176,61,Mongolia,Swimming,0
Beatrice Bartelloni,F,23,165,50,Italy,Cycling,0
Beatrice Callegari,F,24,175,59,Italy,Synchronized Swimming,0
Beatrice Chepkoech Sitonik,F,25,170,54,Kenya,Athletics,0
Beatriz Zaneratto Joo,F,22,176,69,Brazil,Football,0
Bedopassa Buassat Djonde,M,23,172,97,Guinea Bissau,Wrestling,0
Bei Fen Jovina Choo,F,26,164,57,Singapore,Sailing,0
Bekzod Makhamadzhonovich Abdurakhmonov,M,26,172,74,Uzbekistan,Wrestling,0
Beln Adaluz Casetta,F,21,163,52,Argentina,Athletics,0
Bence Demeter,M,26,180,72,Hungary,Modern Pentathlon,0
Benik Abramyan,M,31,186,115,Georgia,Athletics,0
Benjamin Auffret,M,21,166,54,France,Diving,0
Benjamin Compaor,M,28,189,83,France,Athletics,0
"Benjamin Floyd ""Ben"" Blankenship",M,27,178,64,United States,Athletics,0
Benjmin Ceiner,M,24,197,94,Hungary,Canoeing,0
Berik Abdrakhmanov,M,30,165,60,Kazakhstan,Boxing,0
Berit Lisa Matilda Ericson,F,28,165,60,Sweden,Sailing,0
Bernardo Baloyes Navas,M,22,168,66,Colombia,Athletics,0
Berta Betanzos Moro,F,28,179,71,Spain,Sailing,0
Berta Bonastre Peremateu,F,24,157,50,Spain,Hockey,0
Betzabeth Anglica Argello Villegas,F,25,164,53,Venezuela,Wrestling,0
Bi Shengfeng,M,27,183,87,China,Wrestling,0
Bian Ka,F,23,182,115,China,Athletics,0
Bianka Bua,F,22,187,74,Serbia,Volleyball,1
Bibiro Ali Taher,F,28,160,44,Chad,Athletics,0
Biko Adema,M,28,177,85,Kenya,Rugby Sevens,0
Billy Besson,M,35,169,69,France,Sailing,0
Billy Pierre Bakker,M,27,188,82,Netherlands,Hockey,0
Bintou Dim,F,32,167,58,Senegal,Basketball,0
Birhanu Yemataw Balew,M,20,,,Bahrain,Athletics,0
Bla Blagotinek,M,22,202,108,Slovenia,Handball,0
Blair Cameron Bann,M,28,184,84,Canada,Volleyball,0
Blair Catherine Evans,F,25,175,65,Australia,Swimming,0
Blake Blackburn,M,24,181,82,Australia,Shooting,0
Blandine Dancette,F,28,169,60,France,Handball,1
Bob de Voogd,M,27,183,80,Netherlands,Hockey,0
Bode Abiodun,M,35,170,68,Nigeria,Table Tennis,0
Bogdan Bogdanovi,M,23,197,99,Serbia,Basketball,1
Bohdan Viktorovych Bondarenko,M,26,198,77,Ukraine,Athletics,1
Bojan Bogdanovi,M,27,200,103,Croatia,Basketball,0
